Subject,Problem,Onset,Answer,Choice,RT,Accurate
314,24,120.369,2,2,7.797,1
314,25,128.881,1,1,8.904,1
314,26,138.491,5,4,11.819,0
314,27,151.016,4,3,20.768,0
314,28,172.503,3,1,21.652,0
314,29,194.872,3,3,13.908,1
314,30,209.496,4,2,12.048,0
314,31,222.254,1,4,13.753,0
314,32,236.711,4,4,17.057,1
314,33,254.483,2,4,44.052,0
314,34,299.238,3,3,27.927,1
314,35,327.869,5,3,27.725,0
315,6,4.763,1,1,4.565,1
315,7,10.043,1,1,2.969,1
315,8,13.724,3,3,3.375,1
315,9,17.805,5,5,5.084,1
315,10,23.601,5,5,7.075,1
315,11,31.38,5,5,7.569,1
315,12,39.658,2,2,2.787,1
315,13,43.155,3,3,15.968,1
315,14,59.828,1,2,6.105,0
315,15,66.64,2,2,3.587,1
315,16,70.937,4,4,10.915,1
315,17,82.563,3,3,13.571,1
315,18,96.838,1,1,5.051,1
315,19,102.6,1,1,25.164,1
315,20,128.467,4,4,15.367,1
315,21,144.54,5,1,6.178,0
315,22,151.436,5,3,6.444,0
315,23,158.581,2,3,17.977,0
315,24,177.269,2,2,11.002,1
315,25,188.978,1,1,13.294,1
315,26,202.986,5,2,14.739,0
315,27,218.426,4,4,11.192,1
315,28,230.335,3,5,9.626,0
315,29,240.678,3,5,20.859,0
315,30,262.248,4,4,30.507,1
315,31,293.461,1,2,49.862,0
315,32,344.028,4,2,17.638,0
315,33,362.383,2,4,20.944,0
315,34,384.036,3,4,19.473,0
315,35,404.223,5,2,14.839,0
316,6,4.989,1,1,5.794,1
316,7,11.489,1,1,3.271,1
316,8,15.472,3,3,3.04,1
316,9,19.221,5,2,4.702,0
316,10,24.638,5,5,11.569,1
316,11,36.92,5,5,4.587,1
316,12,42.22,2,2,5.955,1
316,13,48.886,3,3,21.759,1
316,14,71.351,1,1,5.064,1
316,15,77.117,2,3,4.368,0
316,16,82.2,4,4,8.804,1
316,17,91.716,3,3,5.296,1
316,18,97.715,1,1,3.062,1
316,19,101.482,1,5,5.415,0
316,20,107.598,4,4,4.612,1
316,21,112.914,5,5,7.94,1
316,22,121.563,5,5,12.327,1
316,23,134.596,2,2,17.632,1
316,24,152.945,2,1,8.614,0
316,25,162.26,1,1,13.944,1
316,26,176.909,5,5,22.906,1
316,27,200.524,4,2,25.849,0
316,28,227.089,3,1,7.643,0
316,29,235.438,3,3,52.629,1
316,30,288.784,4,4,19.087,1
316,31,308.583,1,1,30.893,1
316,32,340.18,4,2,36.092,0
316,33,376.977,2,2,29.629,1
316,34,407.308,3,2,36.152,0
316,35,444.172,5,4,21.001,0
317,6,4.345,1,1,3.939,1
317,7,8.992,1,1,2.596,1
317,8,12.29,3,3,2.976,1
317,9,15.971,5,5,4.36,1
317,10,21.034,5,5,4.024,1
317,11,25.765,5,5,2.521,1
317,12,28.996,2,2,3.747,1
317,13,33.46,3,3,5.995,1
317,14,40.172,1,1,3.797,1
317,15,44.686,2,2,3.096,1
317,16,48.483,4,4,3.898,1
317,17,53.097,3,5,4.683,0
317,18,58.493,1,2,4.679,0
317,19,63.873,1,2,3.966,0
317,20,68.554,4,4,11.774,1
317,21,81.029,5,5,4.818,1
317,22,86.559,5,5,15.643,1
317,23,102.915,2,2,8.279,1
317,24,111.909,2,2,8.819,1
317,25,121.436,1,2,6.895,0
317,26,129.048,5,5,7.181,1
317,27,136.943,4,4,7.861,1
317,28,145.521,3,3,9.831,1
317,29,156.064,3,3,14.22,1
317,30,170.988,4,4,21.572,1
317,31,193.273,1,1,17.771,1
317,32,211.762,4,4,11.343,1
317,33,223.82,2,4,22.918,0
317,34,247.455,3,4,20.206,0
317,35,268.375,5,5,26.043,1
318,6,4.584,1,1,4.77,1
318,7,10.064,1,1,5.593,1
318,8,16.36,3,3,2.938,1
318,9,20.007,5,5,4.92,1
318,10,25.637,5,5,5.345,1
318,11,31.7,5,5,4.31,1
318,12,36.713,2,2,2.778,1
318,13,40.194,3,3,5.317,1
318,14,46.224,1,4,5.071,0
318,15,52.003,2,2,6.299,1
318,16,59.015,4,4,7.057,1
318,17,66.777,3,5,4.447,0
318,18,71.94,1,1,3.418,1
318,19,76.071,1,1,4.507,1
318,20,81.284,4,4,4.665,1
318,21,86.664,5,5,16.963,1
318,22,104.336,5,3,3.821,0
318,23,108.867,2,2,4.165,1
318,24,113.747,2,2,9.617,1
318,25,124.074,1,5,14.019,0
318,26,138.798,5,5,10.612,1
318,27,150.124,4,1,14.74,0
318,28,165.58,3,3,11.699,1
318,29,177.989,3,1,17.772,0
318,30,196.477,4,1,14.757,0
318,31,211.95,1,5,24.882,0
318,32,237.551,4,4,17.041,1
318,33,255.306,2,5,16.458,0
318,34,272.478,3,3,5.902,1
318,35,279.09,5,1,29.201,0
319,6,5.37,1,1,4.406,1
319,7,10.486,1,1,4.531,1
319,8,15.736,3,3,2.623,1
319,9,19.069,5,5,8.4,1
319,10,28.185,5,5,12.434,1
319,11,41.334,5,5,3.669,1
319,12,45.717,2,2,5.975,1
319,13,52.4,3,3,5.393,1
319,14,58.499,1,1,7.184,1
319,15,66.399,2,2,6.42,1
319,16,73.532,4,4,6.106,1
319,17,80.348,3,3,6.344,1
319,18,87.397,1,1,2.57,1
319,19,90.68,1,1,11.142,1
319,20,102.529,4,4,10.623,1
319,21,113.862,5,5,7.055,1
319,22,121.628,5,3,5.08,0
319,23,127.411,2,2,9.316,1
319,24,137.443,2,2,13.119,1
319,25,151.276,1,1,10.238,1
319,26,162.225,5,4,31.074,0
319,27,194.006,4,4,55.156,1
319,28,249.868,3,1,24.068,0
319,29,274.65,3,3,18.056,1
319,30,293.415,4,3,5.575,0
319,31,299.698,1,1,32.93,1
319,32,333.345,4,4,20.582,1
319,33,354.643,2,2,39.708,1
319,34,395.057,3,2,47.283,0
319,35,443.053,5,4,40.535,0
320,6,4.109,1,1,2.825,1
320,7,7.64,1,1,2.798,1
320,8,11.154,3,3,2.942,1
320,9,14.802,5,2,6.601,0
320,10,22.114,5,5,4.868,1
320,11,27.694,5,5,3.115,1
320,12,31.525,2,2,4.506,1
320,13,36.738,3,3,3.685,1
320,14,41.135,1,1,3.509,1
320,15,45.349,2,2,2.993,1
320,16,49.047,4,4,5.897,1
320,17,55.659,3,3,8.604,1
320,18,64.97,1,1,2.663,1
320,19,68.334,1,1,6.036,1
320,20,75.08,4,4,9.275,1
320,21,85.057,5,1,2.95,0
320,22,88.721,5,3,5.108,0
320,23,94.534,2,1,8.451,0
320,24,103.695,2,2,4.317,1
320,25,108.725,1,1,7.444,1
320,26,116.87,5,5,9.171,1
320,27,126.747,4,5,16.844,0
320,28,144.302,3,1,7.215,0
320,29,152.23,3,2,9.255,0
320,30,162.19,4,3,14.535,0
320,31,177.431,1,4,16.142,0
320,32,194.287,4,4,18.928,1
320,33,213.924,2,4,19.063,0
320,34,233.694,3,4,32.359,0
320,35,266.756,5,3,15.425,0
321,6,7.329,1,1,4.859,1
321,7,12.895,1,1,5.782,1
321,8,19.395,3,3,5.299,1
321,9,25.411,5,5,14.729,1
321,10,40.843,5,5,12.072,1
321,11,53.625,5,5,7.279,1
321,12,61.625,2,2,9.205,1
321,13,71.541,3,3,6.484,1
321,14,78.74,1,1,7.124,1
321,15,86.573,2,2,5.93,1
321,16,93.206,4,4,9.228,1
321,17,103.138,3,3,17.694,1
321,18,121.537,1,1,9.071,1
321,19,131.319,1,1,11.364,1
321,20,143.402,4,4,11.704,1
321,21,155.818,5,5,21.249,1
321,22,177.783,5,5,11.838,1
321,23,190.332,2,2,12.099,1
321,24,203.147,2,2,14.554,1
321,25,218.413,1,1,16.758,1
321,26,235.878,5,5,20.18,1
321,27,256.777,4,4,53.317,1
321,28,310.806,3,3,31.335,1
321,29,342.853,3,3,65.108,1
321,30,408.682,4,4,163.611,1
321,31,573.002,1,1,57.628,1
321,32,631.348,4,3,12.844,0
321,33,644.897,2,2,44.189,1
321,34,689.793,3,5,72.798,0
321,35,763.304,5,5,86.46,1
322,6,5.572,1,1,3.446,1
322,7,9.736,1,1,3.564,1
322,8,14.017,3,3,4.318,1
322,9,19.047,5,5,5.841,1
322,10,25.593,5,5,7.115,1
322,11,33.421,5,5,3.312,1
322,12,37.435,2,2,4.702,1
322,13,42.848,3,3,4.031,1
322,14,47.595,1,1,7.095,1
322,15,55.407,2,2,5.357,1
322,16,61.47,4,4,11.535,1
322,17,73.712,3,5,6.828,0
322,18,81.257,1,1,5.13,1
322,19,87.103,1,1,5.465,1
322,20,93.282,4,4,11.753,1
322,21,105.741,5,5,13.168,1
322,22,119.615,5,5,16.345,1
322,23,136.671,2,2,12.955,1
322,24,150.329,2,2,6.876,1
322,25,157.907,1,1,9.196,1
322,26,167.818,5,5,11.245,1
322,27,179.777,4,4,42.033,1
322,28,222.516,3,3,12.456,1
322,29,235.674,3,3,24.2,1
322,30,260.591,4,4,18.504,1
322,31,279.812,1,1,25.62,1
322,32,306.145,4,4,30.659,1
322,33,337.508,2,4,30.588,0
322,34,368.805,3,2,52.185,0
322,35,421.704,5,3,85.444,0
323,6,5.019,1,1,4.601,1
323,7,10.335,1,1,2.95,1
323,8,14.001,3,3,2.948,1
323,9,17.668,5,5,3.939,1
323,10,22.317,5,5,6.121,1
323,11,29.15,5,5,4.608,1
323,12,34.467,2,2,2.602,1
323,13,37.783,3,3,10.158,1
323,14,48.649,1,1,6.278,1
323,15,55.632,2,2,10.366,1
323,16,66.714,4,4,9.524,1
323,17,76.947,3,3,6.775,1
323,18,84.429,1,2,3.942,0
323,19,89.079,1,1,14.123,1
323,20,103.911,4,4,11.222,1
323,21,115.844,5,1,3.624,0
323,22,120.177,5,5,12.825,1
323,23,133.709,2,2,12.616,1
323,24,147.041,2,2,10.702,1
323,25,158.457,1,1,11.226,1
323,26,170.389,5,2,14.981,0
323,27,186.088,4,4,26.263,1
323,28,213.07,3,5,18.734,0
323,29,232.518,3,2,24.611,0
323,30,257.849,4,3,29.249,0
323,31,287.814,1,5,21.607,0
323,32,310.129,4,4,31.008,1
323,33,341.86,2,1,30.969,0
323,34,373.541,3,3,11.401,1
323,35,385.656,5,4,18.043,0
324,6,3.465,1,1,5.503,1
324,7,9.678,1,1,2.902,1
324,8,13.292,3,3,2.126,1
324,9,16.123,5,5,3.492,1
324,10,20.321,5,5,5.97,1
324,11,27,5,5,3.394,1
324,12,31.097,2,3,5.64,0
324,13,37.443,3,4,6.519,0
324,14,44.672,1,3,8.82,0
324,15,54.199,2,2,4.271,1
324,16,59.179,4,4,4.575,1
324,17,64.459,3,3,15.099,1
324,18,80.266,1,1,6.349,1
324,19,87.328,1,1,8.442,1
324,20,96.472,4,4,8.129,1
324,21,105.316,5,5,5.779,1
324,22,111.812,5,5,11.08,1
324,23,123.604,2,2,13.234,1
324,24,137.545,2,2,7.959,1
324,25,146.206,1,1,17.235,1
324,26,164.145,5,5,18.92,1
324,27,183.782,4,1,2.28,0
324,28,186.763,3,1,17.667,0
324,29,205.135,3,3,12.711,1
324,30,218.56,4,4,46.808,1
324,31,266.079,1,1,64.95,1
324,32,331.737,4,4,6.733,1
324,33,339.182,2,3,40.029,0
324,34,379.922,3,2,35.105,0
324,35,415.733,5,2,19.136,0
325,6,3.929,1,1,2.658,1
325,7,7.294,1,1,2.779,1
325,8,10.775,3,3,2.468,1
325,9,13.956,5,2,3.376,0
325,10,18.037,5,5,5.684,1
325,11,24.432,5,5,3.102,1
325,12,28.247,2,2,2.548,1
325,13,31.511,3,3,6.437,1
325,14,38.657,1,1,3.059,1
325,15,42.421,2,2,4.859,1
325,16,47.984,4,4,6.171,1
325,17,54.863,3,3,9.22,1
325,18,64.79,1,1,4.864,1
325,19,70.37,1,1,8.375,1
325,20,79.447,4,4,18.492,1
325,21,98.651,5,5,8.955,1
325,22,108.312,5,5,10.699,1
325,23,119.721,2,2,8.901,1
325,24,129.331,2,2,8.053,1
325,25,138.092,1,2,14.146,0
325,26,152.95,5,5,15.467,1
325,27,169.123,4,4,24.734,1
325,28,194.573,3,1,16.039,0
325,29,211.329,3,3,13.519,1
325,30,225.553,4,1,50.899,0
325,31,277.17,1,5,37.798,0
325,32,315.678,4,1,14.862,0
325,33,331.252,2,2,32.942,1
325,34,364.896,3,5,40.826,0
325,35,406.436,5,4,36.563,0
326,6,3.862,1,1,4.856,1
326,7,9.425,1,1,3.185,1
326,8,13.323,3,3,4.043,1
326,9,18.07,5,5,6.447,1
326,10,25.232,5,5,4.225,1
326,11,30.162,5,5,4.581,1
326,12,35.458,2,2,6.926,1
326,13,43.087,3,3,4.869,1
326,14,48.667,1,1,7.446,1
326,15,56.828,2,2,4.445,1
326,16,61.975,4,4,7.952,1
326,17,70.636,3,5,7.297,0
326,18,78.647,1,2,11.507,0
326,19,90.856,1,1,8.032,1
326,20,99.6,4,4,17.124,1
326,21,117.439,5,5,13.403,1
326,22,131.546,5,5,19.828,1
326,23,152.083,2,2,13.457,1
326,24,166.258,2,2,12.4,1
326,25,179.366,1,1,19.396,1
326,26,199.47,5,5,19.273,1
326,27,219.457,4,4,25.704,1
326,28,245.873,3,3,47.547,1
326,29,294.125,3,3,44.965,1
326,30,339.796,4,4,127.487,1
326,31,467.996,1,5,92.546,0
326,32,561.253,4,3,22.779,0
326,33,584.738,2,5,40.145,0
326,34,625.595,3,4,77,0
326,35,703.311,5,4,73.324,0
327,6,4.248,1,1,3.294,1
327,7,8.246,1,1,2.539,1
327,8,11.494,3,3,2.05,1
327,9,14.259,5,5,2.643,1
327,10,17.606,5,5,3.289,1
327,11,21.604,5,5,2.57,1
327,12,24.885,2,2,2.487,1
327,13,28.083,3,3,5.764,1
327,14,34.562,1,1,4.731,1
327,15,40.009,2,4,2.43,0
327,16,43.14,4,5,3.403,0
327,17,47.254,3,5,3.253,0
327,18,51.218,1,1,1.871,1
327,19,53.8,1,1,4.203,1
327,20,58.713,4,4,7.465,1
327,21,66.891,5,1,6.944,0
327,22,74.553,5,5,6.492,1
327,23,81.748,2,2,7.49,1
327,24,89.943,2,4,3.553,0
327,25,94.207,1,5,7.814,0
327,26,102.735,5,5,7.643,1
327,27,111.079,4,3,21.346,0
327,28,133.132,3,5,5.125,0
327,29,138.961,3,4,7.44,0
327,30,147.106,4,3,7.195,0
327,31,155.018,1,5,20.076,0
327,32,175.805,4,3,6.104,0
327,33,182.617,2,2,6.096,1
327,34,189.429,3,4,10.396,0
327,35,200.538,5,5,9.868,1
328,6,19.014,1,1,3.59,1
328,7,23.311,1,1,2.148,1
328,8,26.176,3,3,2.407,1
328,9,29.29,5,5,3.121,1
328,10,33.121,5,5,4.598,1
328,11,38.435,5,5,1.849,1
328,12,41,2,2,2.333,1
328,13,44.048,3,3,4.816,1
328,14,49.577,1,1,3.596,1
328,15,53.874,2,2,2.927,1
328,16,57.506,4,4,6.95,1
328,17,65.167,3,5,4.296,0
328,18,70.181,1,2,3.011,0
328,19,73.895,1,1,14.367,1
328,20,88.969,4,4,11.039,1
328,21,100.711,5,5,5.826,1
328,22,107.24,5,3,11.605,0
328,23,119.549,2,2,8.866,1
328,24,129.126,2,2,16.869,1
328,25,146.698,1,1,9.659,1
328,26,157.058,5,5,13.94,1
328,27,171.715,4,4,14.523,1
328,28,186.956,3,1,15.436,0
328,29,203.095,3,5,12.215,0
328,30,216.02,4,2,10.242,0
328,31,226.98,1,5,5.41,0
328,32,233.092,4,4,29.297,1
328,33,263.106,2,3,5.322,0
328,34,269.136,3,5,9.77,0
328,35,279.612,5,3,34.077,0
329,6,4.431,1,1,3.575,1
329,7,8.714,1,1,2.799,1
329,8,12.231,3,3,3.462,1
329,9,16.397,5,5,6.249,1
329,10,23.363,5,5,4.95,1
329,11,29.029,5,5,2.696,1
329,12,32.429,2,2,6.191,1
329,13,39.329,3,3,5.68,1
329,14,45.711,1,1,3.659,1
329,15,50.078,2,2,5.44,1
329,16,56.227,4,4,5.254,1
329,17,62.194,3,3,4.846,1
329,18,67.743,1,1,3.244,1
329,19,71.693,1,1,4.723,1
329,20,77.126,4,4,12.044,1
329,21,89.875,5,5,5.824,1
329,22,96.408,5,3,9.988,0
329,23,107.107,2,2,7.116,1
329,24,114.939,2,2,6.307,1
329,25,121.956,1,1,9.773,1
329,26,132.438,5,5,16.777,1
329,27,149.92,4,4,16.699,1
329,28,167.336,3,1,14.351,0
329,29,182.401,3,3,12.569,1
329,30,195.683,4,1,10.825,0
329,31,207.216,1,4,22.434,0
329,32,230.364,4,2,6.149,0
329,33,237.23,2,4,16.452,0
329,34,254.396,3,4,13.013,0
329,35,268.111,5,4,22.235,0
330,6,4.787,1,1,5.418,1
330,7,10.916,1,2,1.648,0
330,8,13.282,3,1,2.247,0
330,9,16.23,5,5,3.197,1
330,10,20.144,5,5,5.027,1
330,11,25.873,5,2,3.864,0
330,12,30.454,2,2,4.021,1
330,13,35.184,3,3,4.879,1
330,14,40.78,1,1,3.05,1
330,15,44.545,2,2,2.941,1
330,16,48.192,4,4,7.089,1
330,17,55.988,3,3,4.082,1
330,18,60.784,1,1,2.929,1
330,19,64.415,1,5,5.25,0
330,20,70.378,4,4,6.122,1
330,21,77.207,5,5,4.943,1
330,22,82.853,5,5,5.389,1
330,23,88.95,2,3,4.099,0
330,24,93.763,2,2,4.775,1
330,25,99.243,1,2,6.404,0
330,26,106.355,5,2,8.007,0
330,27,115.066,4,2,7.313,0
330,28,123.094,3,3,4.315,1
330,29,128.124,3,3,5.406,1
330,30,134.237,4,3,2.783,0
330,31,137.735,1,2,5.352,0
330,32,143.797,4,4,5.755,1
330,33,150.26,2,5,6.813,0
330,34,157.788,3,4,7.107,0
330,35,165.6,5,5,6.065,1
331,6,3.778,1,1,2.417,1
331,7,6.909,1,1,2.836,1
331,8,10.457,3,3,2.114,1
331,9,13.289,5,2,2.575,0
331,10,16.57,5,5,7.72,1
331,11,24.998,5,1,2.415,0
331,12,28.129,2,2,3.472,1
331,13,32.31,3,3,4.361,1
331,14,37.373,1,1,3.612,1
331,15,41.687,2,2,3.677,1
331,16,46.068,4,4,4.38,1
331,17,51.164,3,3,4.86,1
331,18,56.727,1,1,2.863,1
331,19,60.308,1,1,17.321,1
331,20,78.347,4,5,9.191,0
331,21,88.24,5,1,3.947,0
331,22,92.904,5,1,4.297,0
331,23,97.917,2,2,7.962,1
331,24,106.595,2,2,6.152,1
331,25,113.457,1,2,11.798,0
331,26,125.966,5,5,11.029,1
331,27,137.708,4,5,25.691,0
331,28,164.108,3,3,6.226,1
331,29,171.037,3,5,13.065,0
331,30,184.812,4,2,9.503,0
331,31,195.021,1,4,12.93,0
331,32,208.663,4,4,7.689,1
331,33,217.057,2,3,15.969,0
331,34,233.73,3,3,39.418,1
331,35,273.854,5,5,20.003,1
332,6,6.291,1,1,4.998,1
332,7,12.007,1,1,3.649,1
332,8,16.373,3,3,3.579,1
332,9,20.673,5,5,4.198,1
332,10,25.589,5,5,4.572,1
332,11,30.872,5,5,3.273,1
332,12,34.872,2,2,3.985,1
332,13,39.571,3,3,5.09,1
332,14,45.371,1,1,5.523,1
332,15,51.604,2,2,4.45,1
332,16,56.77,4,4,5.02,1
332,17,62.503,3,3,10.325,1
332,18,73.552,1,1,6.461,1
332,19,80.735,1,1,16.641,1
332,20,98.1,4,4,10.953,1
332,21,109.766,5,3,10.993,0
332,22,121.482,5,5,15.323,1
332,23,137.514,2,2,16.406,1
332,24,154.629,2,2,15.051,1
332,25,170.395,1,1,11.372,1
332,26,182.477,5,3,8.635,0
332,27,191.826,4,4,26.175,1
332,28,218.708,3,3,28.86,1
332,29,248.272,3,3,20.181,1
332,30,269.17,4,3,27.579,0
332,31,297.468,1,4,46.152,0
332,32,344.331,4,4,12.763,1
332,33,357.797,2,5,12.267,0
332,34,370.779,3,5,13.289,0
332,35,384.778,5,2,23.171,0
333,6,3.605,1,1,3.028,1
333,7,7.336,1,1,2.837,1
333,8,10.884,3,3,2.596,1
333,9,14.182,5,2,2.88,0
333,10,17.779,5,5,4.969,1
333,11,23.459,5,5,3.714,1
333,12,27.889,2,2,3.492,1
333,13,32.087,3,3,4.748,1
333,14,37.55,1,1,3.612,1
333,15,41.864,2,2,3.896,1
333,16,46.477,4,4,16.454,1
333,17,63.65,3,3,6.841,1
333,18,71.195,1,1,6.374,1
333,19,78.274,1,1,6.484,1
333,20,85.469,4,4,14.855,1
333,21,101.026,5,1,10.847,0
333,22,112.585,5,3,16.023,0
333,23,129.324,2,2,9.553,1
333,24,139.584,2,2,16.399,1
333,25,156.69,1,5,13.15,0
333,26,170.547,5,5,15.266,1
333,27,186.521,4,4,22.087,1
333,28,209.323,3,3,18.553,1
333,29,228.594,3,3,29.259,1
333,30,258.558,4,1,40.972,0
333,31,300.247,1,1,67.121,1
333,32,368.087,4,3,15.794,0
333,33,384.593,2,2,70.503,1
333,34,455.814,3,3,141.614,1
333,35,598.138,5,3,89.796,0
334,6,4.447,1,1,2.859,1
334,7,8.013,1,1,3.013,1
334,8,11.729,3,3,3.079,1
334,9,15.529,5,5,4.883,1
334,10,21.129,5,5,9.757,1
334,11,31.595,5,5,3.56,1
334,12,35.861,2,4,4.885,0
334,13,41.46,3,3,8.479,1
334,14,50.643,1,1,6.512,1
334,15,57.859,2,2,4.444,1
334,16,63.026,4,4,7.389,1
334,17,71.125,3,3,5.837,1
334,18,77.674,1,1,3.638,1
334,19,82.024,1,1,9.374,1
334,20,92.107,4,4,15.217,1
334,21,108.039,5,5,22.436,1
334,22,131.187,5,3,9.366,0
334,23,141.269,2,2,12.683,1
334,24,154.668,2,2,11.073,1
334,25,166.451,1,1,21.185,1
334,26,188.349,5,5,32.179,1
334,27,221.247,4,4,40.657,1
334,28,262.61,3,1,36.318,0
334,29,299.641,3,3,22.54,1
334,30,322.889,4,2,46.426,0
334,31,370.035,1,2,50.316,0
334,32,421.065,4,2,11.577,0
334,33,433.347,2,3,35.344,0
334,34,469.411,3,4,15.044,0
334,35,485.16,5,4,36.483,0
335,6,5.491,1,1,3.391,1
335,7,9.588,1,1,2.834,1
335,8,13.136,3,3,3.093,1
335,9,16.933,5,5,6.994,1
335,10,24.645,5,5,3.43,1
335,11,28.792,5,5,2.945,1
335,12,32.44,2,2,5.185,1
335,13,38.336,3,3,6.022,1
335,14,45.065,1,1,5.261,1
335,15,51.028,2,2,3.854,1
335,16,55.592,4,4,3.679,1
335,17,59.972,3,3,10.129,1
335,18,70.815,1,2,6.455,0
335,19,77.977,1,1,9.95,1
335,20,88.637,4,4,17.408,1
335,21,106.759,5,1,9.617,0
335,22,117.085,5,3,4.592,0
335,23,122.382,2,2,11.964,1
335,24,135.057,2,4,16.029,0
335,25,151.796,1,1,11.932,1
335,26,164.438,5,5,17.787,1
335,27,182.926,4,4,7.767,1
335,28,191.404,3,1,12.71,0
335,29,204.829,3,1,16.246,0
335,30,221.785,4,1,14.399,0
